TACC: Starting up job 6050088
TACC: Setting up parallel environment for MVAPICH2+mpispawn.
TACC: Starting parallel tasks...
Duration: 0.082793 seconds
Index	x	y	mass	fx	fy
0	44.115437	93.755310	0.100000	17.125000	1.229492(--err)
0	44.115437	93.755310	0.100000	16555.185547	-14120.248047
1	63.315315	70.023331	0.100000	669.613281	-363.906250(--err)
1	63.315315	70.023331	0.100000	-30399.318359	7967.827637
2	21.399086	55.171185	0.100000	-2.048340	2.335449(--err)
2	21.399086	55.171185	0.100000	3244.172607	7084.015625
3	98.474579	20.266085	0.100000	-64.000000	32.000000(--err)
3	98.474579	20.266085	0.100000	904111360.000000	463782464.000000
4	83.593979	75.786072	0.100000	2694445.000000	-627004.187500(--err)
4	83.593979	75.786072	0.100000	-2696997.750000	621389.000000
5	82.073738	76.139717	0.100000	-2694235.750000	626664.187500(--err)
5	82.073738	76.139717	0.100000	2702357.250000	-650550.625000
6	78.239372	69.018784	0.100000	0.000000	0.000000(--err)
6	78.239372	69.018784	0.100000	2499043917824.000000	24534436544512.000000
7	94.176659	59.966480	0.100000	-2.656250	1.476562(--err)
7	94.176659	59.966480	0.100000	40408.375000	17213.031250
8	57.262260	29.701540	0.100000	10375.015625	4381.289062(--err)
8	57.262260	29.701540	0.100000	-178002.703125	-92047.132812
9	62.241657	72.048607	0.100000	68.615234	-54.265625(--err)
9	62.241657	72.048607	0.100000	-16711.949219	34255.273438
10	18.078686	90.257660	0.100000	110.468750	269.718750(--err)
10	18.078686	90.257660	0.100000	341049.625000	-443312.343750
11	6.541832	30.896309	0.100000	-362.583984	54.890625(--err)
11	6.541832	30.896309	0.100000	8804.867188	27168.250000
12	93.120499	40.674000	0.100000	0.000000	0.000000(--err)
12	93.120499	40.674000	0.100000	79051939840.000000	-209493688320.000000
13	42.555744	95.078865	0.100000	0.000000	0.000000(--err)
13	42.555744	95.078865	0.100000	-7782706176.000000	5314167296.000000
14	88.304291	77.515610	0.100000	0.000000	0.000000(--err)
14	88.304291	77.515610	0.100000	9587039232.000000	37804838912.000000
15	19.916607	32.419731	0.100000	27660.791016	-17614.166016(--err)
15	19.916607	32.419731	0.100000	-27509.730469	17045.289062
16	71.270927	83.231926	0.100000	3.531738	34.303711(--err)
16	71.270927	83.231926	0.100000	7425.603027	7731.317383
17	2.443059	92.670013	0.100000	-6.876953	131.644775(--err)
17	2.443059	92.670013	0.100000	1300.548096	-570.133301
18	38.403111	0.917642	0.100000	0.000000	-16.000000(--err)
18	38.403111	0.917642	0.100000	85372392.000000	68957712.000000
19	12.936094	21.997087	0.100000	14.529297	-15.730469(--err)
19	12.936094	21.997087	0.100000	-22245.224609	9790.519531
20	76.703712	95.009827	0.100000	-252.500000	-356.250000(--err)
20	76.703712	95.009827	0.100000	-2160424.750000	-2411611.000000
21	98.136810	54.943085	0.100000	-0.690918	-1.636719(--err)
21	98.136810	54.943085	0.100000	-6434.281738	-18590.628906
